Date,Dow Jones,NASDAQ ,S&P 500
7/26/12,12887.93,2893.25,1360.02
7/27/12,13075.66,2958.09,1385.97
7/30/12,13073.01,2945.84,1385.30
7/31/12,13008.68,2939.52,1379.32
8/1/12,12976.13,2920.21,1375.32
8/2/12,12878.88,2909.77,1365.00
8/3/12,13096.17,2967.90,1390.99
8/6/12,13117.51,2989.91,1394.23
8/7/12,13168.60,3015.86,1401.35
8/8/12,13175.64,3011.25,1402.22
8/9/12,13165.19,3018.64,1402.80
